Date,Total Confirmed,Total Recovered,Total Deceased
1/30/2020,1,0,0
1/31/2020,1,0,0
2/1/2020,1,0,0
2/2/2020,2,0,0
2/3/2020,3,0,0
2/4/2020,3,0,0
2/5/2020,3,0,0
2/6/2020,3,0,0
2/7/2020,3,0,0
2/8/2020,3,0,0
2/9/2020,3,0,0
2/10/2020,3,0,0
2/11/2020,3,0,0
2/12/2020,3,0,0
2/13/2020,3,1,0
2/14/2020,3,1,0
2/15/2020,3,1,0
2/16/2020,3,2,0
2/17/2020,3,2,0
2/18/2020,3,2,0
2/19/2020,3,2,0
2/20/2020,3,3,0
2/21/2020,3,3,0
2/22/2020,3,3,0
2/23/2020,3,3,0
2/24/2020,3,3,0
2/25/2020,3,3,0
2/26/2020,3,3,0
2/27/2020,3,3,0
2/28/2020,3,3,0
3/1/2020,3,3,0
3/2/2020,5,3,0
3/3/2020,6,3,0
3/4/2020,28,3,0
3/5/2020,30,3,0
3/6/2020,31,3,0
3/7/2020,34,3,0
3/8/2020,39,3,0
3/9/2020,48,3,0
3/10/2020,63,4,0
3/11/2020,71,4,0
3/12/2020,81,4,1
3/13/2020,91,10,1
3/14/2020,102,10,2
3/15/2020,112,13,2
3/16/2020,126,14,2
3/17/2020,146,15,3
3/18/2020,171,15,3
3/19/2020,198,20,4
3/20/2020,256,23,4
3/21/2020,334,23,4
3/22/2020,403,23,7
3/23/2020,497,25,9
3/24/2020,571,40,10
3/25/2020,657,43,11
3/26/2020,730,50,16
3/27/2020,883,75,19
3/28/2020,1019,85,24
3/29/2020,1139,102,27
3/30/2020,1326,137,41
3/31/2020,1635,150,47
4/1/2020,2059,169,53
4/2/2020,2545,191,69
4/3/2020,3105,230,83
4/4/2020,3684,286,96
4/5/2020,4293,329,118
4/6/2020,4777,394,134
4/7/2020,5350,469,161
4/8/2020,5915,565,181
4/9/2020,6728,635,227
4/10/2020,7599,786,249
4/11/2020,8453,972,290
4/12/2020,9211,1086,332
4/13/2020,10454,1198,359
4/14/2020,11485,1365,396
4/15/2020,12371,1509,423
4/16/2020,13432,1767,449
4/17/2020,14354,2040,487
4/18/2020,15725,2466,522
4/19/2020,17305,2854,560
4/20/2020,18544,3273,593
4/21/2020,20081,3976,646
4/22/2020,21373,4370,682
4/23/2020,23040,5012,722
4/24/2020,24448,5496,781
4/25/2020,26283,5938,825
4/26/2020,27890,6523,881
4/27/2020,29458,7103,939
4/28/2020,31360,7739,1008
4/29/2020,33065,8429,1079
4/30/2020,34866,9059,1154
5/1/2020,37257,10021,1223
